name,website,category,location,y,x,fecha,info,employees,tech,companies_partner,problem_to_solve,value_ideal_customer,status,year_,cat
Orbital Insight,https://orbitalinsight.com/,"Remote Sensing, Photogrammetry, Drones, Computer Vision, Augmented Reality","Palo Alto, California, USA",37.421448999999996,-122.141501,January 2013,"Orbital Insight mission is to source, process, and analyze this information and make it actionable for businesses, governments, and NGOs. By applying machine learning and computer vision technologies, we build software that interprets data at petabyte scale to drive better business and policy decisions. ",100 to 120,"Artificial Intelligence (computer vision, machine learning), Cloud Computing, Data Science",-,"Orbital Insight develops geospatial analytics to help its clients unlock societal and economic trends at a global scale. The company sources petabytes of satellite, drone, balloon and other geospatial data. Using computer vision and machine learning technologies, it processes and interprets this data to create insights and intelligence enabling businesses, governments and NGOs to make better decisions.","Orbital Insight has worked with both the World Bank and World Resources Institute on humanitarian projects. With the World Bank, the company's ability to automatically analyze features like car density and building height in satellite imagery has contributed to poverty mapping efforts. With the World Resources Institute, Orbital Insight is working to better classify types of forests and land cover changes, as seen in satellite imagery, in order to combat illegal deforestation. The value of Orbital Insight technology is the ability to accurately and automatically analyze these types of geospatial data sets at a massive scale -- a task that would be impossible for human analysts alone.",Series,2013,"remote sensing,photogrammetry,drones,computer vision,augmented reality"
PlanetWatchers,https://www.planetwatchers.com,"Remote Sensing, Photogrammetry, Computer Vision, Augmented Reality","San Francisco, California, USA",37.780111,-122.4096,January 2016,"PlanetWatchers is an all-weather geospatial analytics solution that maximizes the productivity of enterprise natural resource assets. By combining advanced machine learning algorithms and multi-source satellite data, PlanetWatchers delivers an intuitive and robust monitoring and alerting system that provides critical information for natural resource intensive enterprises.",10 to 20,"We leverage cloud computing (AWS) to scale up our processing capabilities, machine learning algorithms for anomalies identifications and GIS tools from ESRI and QGIS. We combine SAR (radar imagery) with optical data (multi-spectral sources). Optical imagery is used for validation and forming a baseline while radar tracks changes over time. It requires machine vision and remote sensing background to understand the source of the signal and the various phenomena in the images over time.",-,"The verticals in which PlanetWatchers is working (forestry, energy, agriculture, mining, etc.) have long suffered from covering large geographic areas without complete, up to date or constant information. The information that was readily available came from small sample areas but did not paint the whole picture of what was going on. We are sure that there are many insights that exist for these large geographic areas but cannot be found due to the large amounts of data that are increasingly becoming available. PlanetWatchers utilizes artificial intelligence so that a large amount of data can be analyzed and used to create and validate our algorithms. Artificial intelligence will be able to tell the user aspects such as the type and location of disturbances earlier than traditional methods to minimize damage to assets.

PlanetWatchers’ core capabilities are in detecting disturbances/changes in natural resource assets in all-weather conditions anywhere on the planet over time. Artificial intelligence is used in the processing and post-processing steps. We are capable of directing the user to the right location and surface the source of the problem we detect. Artificial intelligence is used to train the system to become more efficient over time as more information is run through the algorithms. Artificial intelligence will be able to tell PlanetWatchers and the user exactly what is causing this and where to go to mitigate this damage before it can lead to serious losses.

PlanetWatchers primarily utilizes Synthetic Aperture Radar (SAR) imagery, which is an underutilized resource in the market. The three main advantages of radar are:
1. Weather-independent - Radar can ‘see’ through clouds, haze and at night so a reliable schedule of image acquisition can be scheduled weeks and months in advance.
2. Sensitive to all layers of the object - Depending on the wavelength chosen (this depends on the use cases and satellite source), different aspects of the forest can be monitored from the individual leaves and stems to the canopy structure.
3. Sensitive to moisture - The level of moisture in the leaves or soil, for example, can lead to a variety of insights and inferences that could not be obtained using optical imagery.

PlanetWatchers selects the most suitable data source and plans the image acquisition for the customers. The data sources (radar/optical) are selected depending on the monitoring use cases of the customer. There are multiple parameters that we take into account such as:
- Spatial resolution
- Range of wavelengths
- Polarization
- Revisit time of the satellite
- Angle for change detection
- The minimal object/area we need to detect","PlanetWatchers developed Foresights, a powerful risk management and analytics platform, specifically to help clients manage forestry assets quickly, effectively, and accurately by providing stronger insights and improved identification of areas of new or potential risk. Foresights’ improved platform covers larger geographic areas and delivers results faster and more accurately than traditional project-based companies, traditional inventory methods and off-the-shelf processing tools. 

Geoprocessing divisions as well as the operations, planning, and growth and yield departments in commercial forestry enterprises will benefit greatly from this state-of-the art platform that provides deep visibility on all geographically-distributed forestry assets. Reports identifying locations that require immediate mitigation can be viewed in existing GIS systems and are geolocated for forestry field teams, including offline capabilities for teams operating in remote areas without cellular reception.",Angel investors,2016,"remote sensing,photogrammetry,computer vision,augmented reality"
Development Seed,https://developmentseed.org/,"Location Data Analytics, Location Intelligence, Remote Sensing, Photogrammetry, Mapping, GIS","Washington D.C, USA",38.9065,-77.02434699999998,April 2003,"Development Seed is a design and engineering company which partners with organizations to solve the toughest development challenges through thoughtful design, open source software and open data. We work with groups like NASA, ESA, World Bank, and NGOs to leverage Earth observation and deliver data to the cloud and scale the systems and distribution of image processing, develop end-user products that deliver insight and support informed decision making.",30 to 40,"NodeJS, Mapbox, CouchDB, PostgreSQL, QGIS, OpenStreetMap","NASA, World Bank, UNICEF, Humanitarian OpenStreetMap Team, Physicians for Human Rights, Bloomberg, Radiant.Earth, Radiant Solutions/DigitalGlobe, Mapbox, World Resource Institute, Mercy Corps, Tellus Labs, etc.","We try to understand our changing planet by creating, analyzing, and distributing massive amounts of data, and problems that fall within that realm are ones we want to tackle. From road management, energy grid planning, to disaster response, our tools can quickly provide situational awareness in the most remote and urban areas. Our machine learning tools can scan satellite and drone imagery, and detect roads, buildings, and crops. Our world-class data team creates and curates geospatial data with high speed and accuracy, and can quickly map your city or project area, in addition to creating perfect training data for machine learning. We help NASA manage and move their data production and archival operations to the cloud. We roll our tools into fully automated pipelines, and deliver real-time monitoring and forecasting at a global scale.","Our ideal partner is someone who has a tough problem that needs to be solved with data for better informed decision making. NASA, a valued partner of ours, was challenged in managing their mass archive of Earth observation data, and we built Cumulus, a cloud-based platform to ingest, process, catalog, archive, and distribute NASA’s Earth Data streams so that the data is more readily accessible. NASA has seen great value in Cumulus and we've worked to deploy similar infrastructure within different programs within the organization, as well as in talks with groups outside of the NASA ecosystem to deploy similar infrastructure. (https://developmentseed.org/projects/nasa/)",Self-Funded,2003,"location data analytics,location intelligence,remote sensing,photogrammetry,mapping,gis"
"Cesium (part of Analytical Graphics, Inc.)",https://cesium.com/,"Navigation, Mapping, GIS","Exton, Pennsylvania, USA",40.038663,-75.596529,January 1989,"Cesium was founded by AGI in 2011 as a cross-platform virtual globe for dynamic-data visualization in the space and defense industries. Since then, Cesium has grown into a 3D globe serving industries from geospatial and oil and gas to agriculture, real estate, entertainment, and sports.",10 to 20,"WebGL, JavaScript, 3D Tiles","Analytical Graphics, Inc., Bentley Systems, Rafael ","Cesium offers a complete 3D mapping platform for creating custom 3D map applications at any scale, from every satellite in space to every building in Manhattan. Users build interactive 3D maps that run in a browser using open source CesiumJS together with the 3D content and tiling pipelines in Cesium ion.","A broad range of industries use Cesium, from visualizing satellite tracking for aerospace and defense to displaying point cloud data for architecture, engineering, and construction applications. Perhaps the best known application built with Cesium is NORAD Tracks Santa: NORAD monitors Santa's position on Christmas eve, and displays his real-time location on a 3D Cesium globe.",Not Available,1989,"navigation,mapping,gis"
Esri,www.esri.com,"Location Data Analytics, Location Intelligence, Mapping, GIS","Redlands, California, USA",34.057279,-117.194581,1969,"Esri offers geographic information system software, web GIS, and geodatabase management applications.

Esri pursues mapping and spatial analysis for understanding our world with visionary products and services that define the science of GIS. ArcGIS is a complete system for designing and managing solutions through the application of geographic knowledge. Esri helps you build and manage great information products by providing the ultimate platform for geospatial integration and application.",1001 to 5000,-,-,-,-,Self-Funded,1969,"location data analytics,location intelligence,mapping,gis"
Spatial AI,Spatial.ai,"Location Data Analytics, Location Intelligence","Cincinnati, Ohio, USA",39.106355,-84.51567800000002,January 2016,"Spatial is a location data company that uses conversations from social networks to understand how humans move and experience the world around them.
    ",10 to 20,"python, mongo database, tensorflow, nvidia",-,"For retailers, urban planners and transportation who want to understand the emotional pulse of the city we offer our behavioral data built on social media data.","Transportation designers, urban designers, retailers.

We help ford's transportation design team identify access to the 5 indicators of societal flourishing.

Check out what we do for retailers. http://blog.spatial.ai/why-tracking-bikinis-babies-and-versace-mentions-can-save-retail",Seed,2016,"location data analytics,location intelligence"
Urthecast,https://www.urthecast.com/,"Remote Sensing, Photogrammetry, ","Vancouver, British Columbia, Canada",49.2892,-123.115204,December 2010,"UrtheCast (pronounced “EarthCast”) is a company created around a unique vision: to provide the world’s first near-live HD video feed of Earth from space. Working with renowned aerospace partners from across the globe, UrtheCast is building, launching, installing, and operating two cameras on the Russian segment of the International Space Station. Earth video data collected by the cameras will be downlinked to ground stations around the planet and then displayed in near-real time on the UrtheCast web platform, or distributed directly to exclusive partners and customers. UrtheCast will provide this interactive platform and HD Earth video data for internet users, app developers, educators, media outlets, government bodies, humanitarian relief organizations, and environmental monitoring services.",101 to 250,-,-,-,-,IPO,2010,"remote sensing,photogrammetry"
Ordnance Survey,https://www.ordnancesurvey.co.uk,"Location Data Analytics, Location Intelligence, Navigation, Remote Sensing, Photogrammetry, Drones, Mapping, GIS, Computer Vision, Augmented Reality, Urban Planning","Southampton, UK",50.938096,-1.470644,August 1791,"Ordnance Survey (OS) is the national mapping agency for Great Britain, and a world-leading geospatial data and technology organisation. As a reliable partner to government, business and citizens across Britain and the world, OS helps its customers in virtually all sectors improve quality of life. OS expertise and data supports efficient public services and infrastructure, new technologies in transport and communications, national security and emergency services and exploring the great outdoors. By being at the forefront of geospatial capability for more than 225 years, we’ve built a reputation as the world’s most inspiring and trusted geospatial partner.",1000 to 1100,"Data capture, processing, GNSS / GPS, drone technology, AI, M2M, AR, VR","We partner with over 400 large and small businesses from across the UK. 

More detail in our partner finder here: https://www.ordnancesurvey.co.uk/business-and-government/partners/","Our core purpose as the national mapping agency is to provide accurate location data to government and business. We work across many sectors including infrastructure, emergency services, energy, mobility, housing and agriculture. 

We are also involved in projects exploring connected vehicle data infrastructure, 5G roll-out, IoT, digital twins and high-altitude location data capture. 

We support 25 research and development projects with universities across the UK.

We founded a start-up programme called Geovation (https://geovation.uk), a world-leading initiative to support entrepreneurs in the location and property space.","To ensure safety and security during the 2012 London Olympics Games, the Metropolitan Police service needed a single, definitive and easy-to-use way to securely view and share mapping, and associated data. Ordnance Survey mapping data was used to build a new mapping portal was used by more than 2,000 users within the Metropolitan Police. In addition, more than 46 external agencies also had access to the system.",Self-Funded,1791,"location data analytics,location intelligence,navigation,remote sensing,photogrammetry,drones,mapping,gis,computer vision,augmented reality,urban planning"
Pix4D and SenseFly (Parrot group),https://www.parrot.com,"Remote Sensing, Photogrammetry, Drones, Mapping, GIS","Paris, France",46.516832,6.561656,1994,"SENSEFLY: At senseFly, we believe in using technology to make work safer and more efficient. Our proven drone solutions simplify the collection and analysis of geospatial data, allowing professionals in surveying, agriculture, engineering and humanitarian aid to make better decisions, faster. senseFly was founded in 2009 and quickly became the leader in mapping drones. The company is a commercial drone subsidiary of Parrot Group.


PIX4D: Pix4D is a dynamic and rapidly expanding software company with headquarters in Lausanne, Switzerland, and local offices in San Francisco, Shanghai and Berlin. The company develops a line of end-to-end mapping solutions which convert images into georeferenced maps and models. Using advanced algorithms based on computer vision and photogrammetry, Pix4D offers survey-grade accuracy, as well as a unique bundle of desktop and cloud processing.",700 to 750,-,-,"SENSEFLY: Launched with the promise that “it’s not about the drone,” but
 instead about overcoming business challenges, the eBee X, part of the 
Parrot Business Solutions portfolio, is designed to boost the quality, 
efficiency and safety of an operator’s geospatial data collection.


PIX4D:
 Pix4D’s technology uses photogrammetry, allowing us to see further and 
make sense of images. By creating maps and 3D models, we can measure, 
monitor, inspect and understand the semantics of the data captured all 
from your computer. Whether it is the volume of a stockpile, the 
healthmap of a field, the status of a construction site, comparing the 
as-built with the as-designed or dozens of other applications—location 
data is something that is embedded in all these georeferenced outputs 
allowing GIS and CAD integrations. ","SENSEFLY: Operators all over the world have benefited from using our technology. Take a look: https://www.youtube.com/watch?v=yVgMlGjRL6U&t=95s

PIX4D: Our customer is any professional that needs to digitize the world. This 
is what Pix4D does really well by extracting critical information from 
images for many applications - virtually any profession can pull value 
from that sort of data, including engineering, surveying and mapping, 
public safety institutions like police forces, agriculture, 
construction, mining, and more.",IPO,1994,"remote sensing,photogrammetry,drones,mapping,gis"
Coord,coord.co,"Location Data Analytics, Location Intelligence, Navigation, Mapping, GIS, Computer Vision, Augmented Reality, Developer tools for the mobility market","New York City, USA",,,January 2017,"We're passionate about making cities more livable.
The way people and goods are transported around cities is rapidly changing. We're driving innovation and collaboration by building a shared data layer that enables mobility services to interoperate seamlessly with city infrastructure.",5 to 10,"PostGIS, OpenTripPlanner, Google Cloud Platform, OpenStreetMap, Google Maps, Mapbox ",-,"Coord is an Alphabet company building the developer platform for the mobility market. The team at Coord is driven by a mission of making seamless mobility available to everyone. Coord is accelerating this outcome by empowering any software developer to integrate transport options for drivers and riders into smartphone apps, autonomous vehicles and every technology stack in between.","Bikehunt is a company that used our Bike-Share API to create a voice app which helps users find available bikes in cities across the world (They use our API to find the available bikes in the US). In the future, car-share companies may use our Tolls API to bill their clients for incurred tolls upon the end of their session instead of months later. Our ideal customer is a developer who is building a product which directly or indirectly involves mobility and wants to build a better trip for their users! ",Series A,2017,"location data analytics,location intelligence,navigation,mapping,gis,computer vision,augmented reality,developer tools for the mobility market"
